Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,AvgBlinkDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp
3S,India_1,0,1,25,220.0,10,163.33333333333334,2.664070283212969,0.0278912135258531,2,9.224961274835694,0.2167319360364105
3S,Mexico_3,0,1,27,265.4320987654321,8,120.83333333333334,2.836321197904633,0.0859662988876199,0,6.739157233245267,0.1532487958313169
3S,Vietnam_1,0,1,21,276.984126984127,10,210.0,2.803359953160024,0.0651226929112289,2,7.661858499336375,0.2362786222045721
3S,NYC_4,1,0,26,226.2820512820513,9,183.33333333333337,2.520612505600006,0.0335517825862121,2,8.636521401568343,0.2279865219612898
3S,Italy_1,0,1,30,215.00000000000003,8,204.16666666666669,2.565301788330078,0.0157263031087709,0,5.433309849154102,0.2233440522361221
3S,Sweden_4,0,1,25,238.66666666666669,10,200.00000000000003,2.7256399202747503,0.0805580878778896,0,7.072773224740341,0.1932509673597975
3S,Italy_4,0,1,24,247.22222222222223,11,162.12121212121212,2.5173618550203285,0.0218009592667446,6,6.777934084729971,0.1801561905837085
3S,Brazil_1,0,1,22,268.93939393939394,14,169.0476190476191,2.480092789464237,0.0197013966540182,0,7.141841124931566,0.1925238232530048
3S,India_3,1,0,25,248.0,11,186.3636363636364,2.776934704538119,0.0772518512064513,2,7.721693082820775,0.205804792733298
3S,France_1,0,1,22,340.90909090909093,5,186.66666666666669,2.49221810250645,0.0334141319448776,0,5.904366451688615,0.1967732574426537
3S,NYC_1,0,1,24,211.8055555555556,14,171.42857142857142,2.435942766959207,0.0205649115030732,0,7.927568349356502,0.1830470926637848
3S,Brazil_3,1,0,25,257.33333333333337,9,162.96296296296296,2.422181374900233,0.0171372682028746,6,7.17627621966824,0.2691598849410642
3S,London_3,0,1,30,186.1111111111112,3,105.55555555555556,2.567461748426457,0.0344684975654578,72,9.133179892289215,0.3365896120307485
4M,Singapore_1,1,0,29,204.02298850574715,2,200.0,4.2119393599660775,0.1608240558220331,45,10.202530060721992,0.2971434634770894
4M,Brazil_3,1,0,27,262.3456790123457,0,0.0,3.9131438492128514,0.1457246342646611,0,6.311729305376766,0.1489231430732033
4M,Mexico_1,1,0,27,256.7901234567901,3,138.88888888888889,4.651929868684782,0.0668542313915437,2,6.411551558113411,0.1365108523602499
4M,India_1,1,0,17,329.4117647058824,3,488.8888888888889,4.479331713383741,0.2898941709815708,72,5.209749590392232,0.1453644824762085
4M,India_3,1,0,25,248.66666666666669,5,240.0,3.940518692277188,0.2024788162951248,34,4.430589010235965,0.1408443643780679
4M,HongKong_1,1,0,16,247.91666666666669,5,783.3333333333334,3.4273100454060983,0.1527631542385476,15,10.538931292754762,0.2014050333701925
4M,Singapore_3,0,1,8,181.25,1,7383.333333333334,3.994301182449244,0.2162109695165597,0,8.85013034756221,0.2986588962226661
4M,Vietnam_1,0,1,21,262.6984126984127,5,416.6666666666667,4.297918352030091,0.3161565608353242,34,8.17395586303579,0.2403789992193282
4M,NYC_1,1,0,23,228.9855072463768,5,386.6666666666667,4.119709157350153,0.1846403932190086,34,7.351822274132498,0.154646259328985
4M,London_3,0,1,13,292.3076923076923,5,786.6666666666667,4.135100850819877,0.446405203109414,44,4.634461477099016,0.1588062548545647
4M,NYC_4,0,1,22,206.0606060606061,3,938.888888888889,4.175498484458835,0.2936197145502663,16,6.306430700604375,0.1737068114546407
4M,Italy_4,0,1,13,250.00000000000003,4,920.8333333333334,4.134320174720908,0.3360100811190279,34,6.40839162951477,0.13337000381768
4M,Vietnam_2,1,0,25,182.0,6,269.44444444444446,3.792157950650257,0.3514621903602258,103,12.591219505158175,0.5280126773942528
4M,HongKong_3,0,1,15,312.2222222222223,3,1044.4444444444446,4.04494013305964,0.3334414394622128,21,6.024999966355781,0.1787130311787143
4M,France_3,1,0,24,252.0833333333333,3,761.1111111111112,4.46405674081988,0.3058182052957634,50,5.103546868083586,0.3194454385161254
4M,Sweden_2,1,0,23,304.34782608695656,1,50.0,4.544956895593447,0.3343728339781565,69,7.579685774857785,0.1896232566696647
4M,France_1,1,0,24,270.83333333333337,1,1166.6666666666667,3.841282668340774,0.4408236887425278,16,6.645241347257263,0.1363356169649223
4M,London_1,1,0,22,281.06060606060606,2,258.33333333333337,3.634151924605918,0.1882987666848645,80,9.603590198790863,0.296379271469974
4M,Brazil_1,1,0,28,239.8809523809524,3,322.22222222222223,4.21033521500621,0.0732422127495373,30,6.3997320984591575,0.2133824368986623
4M,Russia_3,1,0,24,263.8888888888889,3,350.0,3.7213372350192335,0.2813506727194632,32,6.824528210550328,0.1682947250671534
4M,Russia_1,1,0,19,276.3157894736842,5,313.33333333333337,3.5739351214784563,0.137759485182993,57,5.898895504827008,0.1887860421312003
4M,Sweden_4,1,0,26,258.974358974359,0,0.0,3.4409865052908057,0.0686855325346038,46,9.972118407911074,0.2803021431568719
4M,Italy_1,0,1,22,215.1515151515152,3,622.2222222222223,4.057703041931406,0.1514605007790661,20,7.772026588472253,0.1760664335655958
4M,Mexico_3,1,0,31,168.8172043010753,1,783.3333333333334,4.47357344450774,0.1823087265961024,52,8.198525060548324,0.2855578421683836
5N,Brazil_3,1,0,22,412.87878787878793,0,0.0,4.83957524617513,0.0321421255359092,0,4.381033628394631,0.1669774973357016
5N,Italy_4,0,1,23,362.3188405797102,2,108.33333333333334,4.826713990921462,0.1000378903601845,6,5.860603054387287,0.2434507747272304
5N,Singapore_3,1,0,20,440.0,1,83.33333333333334,4.568667222353746,0.0890332116834112,2,6.336159456654487,0.1295609291141601
5N,London_1,1,0,26,321.15384615384613,1,116.66666666666669,4.693949312777133,0.0609649542410388,0,4.974619954634552,0.2353110921862675
5N,HongKong_1,0,1,21,400.0,1,116.66666666666669,4.923266627424854,0.0585287168826774,7,7.081235021225467,0.1556675156942903
5N,Mexico_3,0,1,20,403.33333333333337,3,144.44444444444446,5.2585770638617335,0.1415274037454071,1,5.77966438168431,0.218659843800514
5N,Sweden_2,1,0,25,339.33333333333337,1,116.66666666666669,5.035240676802427,0.0666818498922301,3,4.363914872173171,0.2363964647584385
5N,Vietnam_2,0,1,23,372.46376811594206,2,83.33333333333334,4.590076537051443,0.0875728252979292,2,4.928136305001257,0.1989778656533136
5N,Brazil_1,0,1,23,371.0144927536232,2,116.66666666666669,4.155119415022369,0.162962228113124,2,5.458104502674972,0.1504375688684343
5N,Mexico_1,1,0,18,443.5185185185185,3,133.33333333333334,5.0868185488604505,0.188717081594407,2,4.447064465614753,0.0954738183947435
5N,France_1,0,1,26,317.3076923076923,1,166.66666666666669,5.170494287192416,0.0439749717409727,7,5.6935440974634455,0.1998340591510706
5N,Vietnam_1,0,1,25,301.33333333333337,3,111.11111111111111,5.320853256597752,0.128567010333039,7,5.600150988725416,0.1552597867695873
5N,Italy_1,0,1,24,354.86111111111114,0,0.0,5.191065743465551,0.1721555317958276,2,6.052966220091122,0.1808498294673716
5N,Singapore_1,0,1,22,410.6060606060606,0,0.0,4.8990623474121096,0.0909821547799897,0,2.9752597599396444,0.1349543408495963
5N,France_3,0,1,25,340.66666666666674,1,83.33333333333334,4.766771441969461,0.0668744629241408,2,5.322085598360956,0.1423171328674584
5N,London_3,1,0,24,350.6944444444445,1,166.66666666666669,4.953561427450588,0.2334278293109447,0,4.909734030918129,0.1427143706139838
5N,India_1,0,1,25,329.33333333333337,1,166.66666666666669,4.94763910325907,0.0456477771573121,0,5.767694403934151,0.2333131318377573
5N,India_3,0,1,20,406.6666666666667,3,105.55555555555556,4.82876462837404,0.1214056121144982,5,7.187999230317536,0.197164104308657
5N,Sweden_4,0,1,18,490.7407407407408,1,166.66666666666669,4.830099047644664,0.1948755735867097,0,5.659187292375224,0.2009837289661401
5N,NYC_1,0,1,23,366.6666666666667,1,350.0,4.84522751987701,0.2492504077606683,0,5.69161876519387,0.1060893127345114
5N,Russia_3,1,0,20,445.0,0,0.0,4.80064453125,0.1575564208680854,0,5.04536188827809,0.1669086520246652
5N,NYC_4,0,1,20,438.33333333333337,1,100.0,4.25474396779481,0.0945329754523583,0,4.895621079070654,0.1795819599977479
5N,Russia_1,0,1,28,311.30952380952385,1,200.0,4.870066376770435,0.0859452654406071,0,3.8149728256986895,0.1895165485788696
5N,HongKong_3,0,1,33,230.3030303030304,1,83.33333333333334,5.111574929447498,0.0541661868472016,9,8.218362402660121,0.2205737614362067
6Y,Vietnam_1,1,0,24,339.58333333333337,1,83.33333333333334,3.89830444954537,0.538329832542428,0,8.767654437101886,0.2105047135114352
6Y,Brazil_3,1,0,28,276.78571428571433,2,133.33333333333334,3.553195127506846,0.2427399456235197,2,7.159111802372345,0.2215775886789589
6Y,NYC_4,1,0,26,337.17948717948724,1,83.33333333333334,3.377891064494295,0.1883555266098721,0,5.268498065388614,0.1857503589842256
6Y,Russia_3,1,0,27,304.320987654321,1,183.3333333333333,3.296942086055361,0.1843761458484644,0,6.41729573103129,0.1804686573690368
6Y,Italy_4,1,0,23,373.1884057971015,2,125.0,3.093115606668478,0.2519601815198115,2,6.713369349277047,0.1959808245417323
6Y,Sweden_4,1,0,26,323.0769230769231,1,316.6666666666667,3.395607745709197,0.1782325536652922,0,5.463498651083994,0.2718394526174968
6Y,India_3,1,0,24,310.4166666666667,2,250.00000000000003,4.023780040943159,0.2022823231929428,1,8.979462112586997,0.2417621057347306
6Y,India_1,1,0,25,328.66666666666674,3,155.55555555555557,3.733394169307256,0.1191972738989989,2,4.1683598690664345,0.1214075542919646
6Y,France_3,1,0,27,288.27160493827165,2,183.3333333333333,3.254969963660607,0.3342602523767133,7,7.519734466262994,0.1883541837608009
6Y,Mexico_1,0,1,21,407.1428571428572,1,416.6666666666667,3.3919782655193336,0.1021296549145096,0,6.039855551258524,0.2443322607782584
