Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,ClosedEyeDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp,LastFixDur
8I,NYC_1,1,0,14,309.5238095238096,0,0.0,4.278648427327474,0.0306898528424978,0,7.403269215834374,0.1980056017653597,150.0
8I,NYC_4,1,0,11,374.24242424242425,0,0.0,4.1347746462435335,0.0251467384962595,0,10.654316380959123,0.2137203477057096,200.0
8I,Vietnam_1,1,0,8,577.0833333333334,1,116.66666666666669,3.6942474678771138,0.0372832152133804,0,3.4918082471492595,0.1303692909732361,1800.0000000000002
8I,France_3,1,0,19,200.00000000000003,0,0.0,3.9781107935412177,0.0180073179883217,0,9.504410844196755,0.2720293433690026,150.0
9T,London_1,0,1,10,243.3333333333333,5,206.66666666666669,3.292299609163623,0.0295918814038166,11,4.275133872785279,0.0946241681963056,133.33333333333334
9T,France_3,1,0,15,231.1111111111112,4,108.33333333333334,3.4309703520614736,0.0246187438902995,2,4.932424223112457,0.1473768857975011,83.33333333333334
9T,Vietnam_2,1,0,11,225.7575757575757,5,146.66666666666669,3.34451220703125,0.0406054672461796,0,8.383458781991234,0.2451468829731786,616.6666666666667
9T,NYC_4,1,0,15,215.5555555555556,3,127.7777777777778,3.363144256256439,0.0389650772420437,0,4.862796504223982,0.1478051127061224,66.66666666666667
9T,HongKong_1,1,0,12,155.55555555555557,8,183.3333333333333,3.380233326597077,0.0327847486879324,12,14.47843242493725,0.257165651051327,233.3333333333333
9T,Italy_1,0,1,18,146.2962962962963,3,94.44444444444446,2.923955189098012,0.0744170796514847,0,6.368647326748906,0.1881609748074823,183.3333333333333
9T,Brazil_3,1,0,14,179.7619047619048,6,163.88888888888889,3.259016849823642,0.038242525470195,0,9.369263206268457,0.222771493608645,116.66666666666669
9T,India_1,1,0,10,215.0,7,204.7619047619048,3.2458628528523,0.0918595660679831,1,6.552074321679959,0.1809581924621733,383.33333333333337
9T,Brazil_1,1,0,15,208.88888888888889,5,133.33333333333334,2.927720235581564,0.0455888447803031,0,5.7168292761696256,0.1527191667113409,116.66666666666669
9T,France_1,1,0,14,205.95238095238096,6,163.88888888888889,2.9900646288859893,0.0620143261391451,6,11.27502700962494,0.2315831082927799,66.66666666666667
9T,London_3,0,1,11,225.7575757575757,7,126.1904761904762,3.6150406384077214,0.0866924485172131,4,7.61821681271122,0.1944891774293492,216.66666666666669
9T,Vietnam_1,0,1,15,173.33333333333334,7,104.76190476190476,3.012455540077359,0.0390489523769301,2,8.45758138567125,0.1318701403513207,50.0
9T,Sweden_4,1,0,14,204.7619047619048,5,173.33333333333334,3.385582031742219,0.0774441382070958,2,9.356814852710588,0.2118846706988681,116.66666666666669
9T,Sweden_2,1,0,13,200.0,5,173.33333333333334,3.216320006827998,0.0446494345537766,0,8.886530556261683,0.1990711492230514,233.3333333333333
9T,NYC_1,1,0,15,171.11111111111114,5,150.0,2.98160649859716,0.131365578810844,0,9.101878488574693,0.2418587858795993,83.33333333333334
9T,Italy_4,0,1,11,196.969696969697,7,164.28571428571428,3.012852809740149,0.1177180374539307,4,7.973531828271179,0.0862183955607299,133.33333333333334
9T,Russia_1,0,1,14,182.1428571428572,5,213.3333333333333,3.035345069398271,0.0474943090877443,5,5.993422235837428,0.1569826728360223,250.00000000000003
9T,Russia_3,1,0,13,189.74358974358967,7,188.0952380952381,3.14796599651354,0.0457802470792613,0,7.339331114034621,0.1495752654737357,133.33333333333334
9T,Mexico_3,1,0,12,241.66666666666663,5,153.33333333333334,2.9058335319397943,0.0632077791096095,0,10.541904346830568,0.2432792708277394,300.0
