Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,ClosedEyeDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp,LastFixDur,NumFix_Sim,AvgFixDisp_Sim,AvgFixDur_Sim,CoveredArea,det,revdet,meanline,maxline,ent,relent,lam,tt,corm
36N,London_1,0,1,34,340.1960784313726,5,176.66666666666669,3.6561645399337697,0.2684838831374004,7,6.864006044053637,0.1999997442340844,650.0,23.0,389.5745201975321,502.89855072463774,0.2441888888888889,20.04950495049505,,1350.0,1650.0,1.0,0.0935683398450873,6.92410119840213,1155.5555555555554,22.138463846384635
36N,Vietnam_1,1,0,35,303.80952380952385,6,188.8888888888889,3.676858876484423,0.0845303728312136,14,8.406868846850742,0.256884719483206,150.0,24.0,470.7091873204648,443.0555555555554,0.2564763888888889,36.966292134831455,32.13483146067416,1827.7777777777767,2149.9999999999995,1.584962500721156,0.1431834945748577,31.740837696335085,1616.6666666666663,17.43886318572373
36N,HongKong_3,0,1,34,369.6078431372549,4,204.16666666666669,3.544290616565529,0.1154793105215278,2,5.337921266427812,0.2096387663590327,250.00000000000003,20.0,377.3620178238114,628.3333333333333,0.1893173611111111,58.83611467693625,42.87548138639281,2291.666666666667,5133.333333333333,3.321928094887362,0.2695189058248895,43.17373018440633,2471.296296296296,14.684716225152682
36N,Singapore_1,1,0,32,388.02083333333337,5,166.66666666666669,3.730838658949908,0.1144555054876164,2,5.185132940668204,0.2248618922676446,550.0,22.0,302.2411615421183,564.3939393939393,0.2013604166666666,59.69556585043018,39.17935142289873,2505.555555555555,3550.0,2.584962500721156,0.2191909905018738,43.306737588652496,2171.111111111112,16.24645075895049
36N,Sweden_2,0,1,31,350.5376344086022,8,191.66666666666669,3.206080693783967,0.1684076420588761,14,8.009295188198688,0.1983277435520308,100.0,24.0,272.8268233651842,452.7777777777778,0.2081597222222222,10.850801479654749,11.097410604192357,1466.6666666666663,1466.6666666666663,0.0,0.0,8.954203691045798,2183.333333333333,21.09330045211673
36N,Brazil_3,0,1,38,306.57894736842104,6,147.22222222222223,3.3747180653636564,0.2323841880819749,6,6.024170473629582,0.2039114111208884,283.33333333333337,22.0,372.86331727933833,529.5454545454546,0.2244270833333333,48.4798685291701,24.979457682826624,1404.7619047619048,2183.333333333333,2.807354922057604,0.2531051253371985,23.46033402922756,1362.1212121212118,15.769837216016349
36N,Vietnam_2,1,0,30,390.0,7,145.23809523809524,3.26777051366018,0.1030159455495533,2,7.672437258401701,0.2158115990501167,300.0,23.0,379.9469034805239,508.69565217391306,0.2176326388888889,41.74174174174174,,2316.6666666666665,3183.333333333333,1.584962500721156,0.1362135021961699,26.66078777189888,2159.5238095238096,15.556936246591418
36N,Russia_1,0,1,39,293.5897435897436,4,166.66666666666669,3.336921798351199,0.2384146259925665,0,6.652364797299697,0.1928300807293149,250.00000000000003,24.0,364.26460495966666,477.0833333333334,0.245375,32.01722900215363,10.552763819095478,1238.8888888888887,1783.3333333333337,2.584962500721156,0.2393583205870477,21.634615384615383,1249.9999999999998,28.0821400234254
36N,India_3,1,0,35,330.0,7,171.42857142857142,3.3848517215613163,0.1221303999641879,2,6.931652403180429,0.1627394634837594,750.0,25.0,300.2967102563131,462.0,0.2350083333333333,24.02659069325736,7.6923076923076925,1405.5555555555554,1966.6666666666663,1.584962500721156,0.144867109287466,16.666666666666668,1212.4999999999998,16.904083570750238
36N,Mexico_1,1,0,33,328.7878787878788,8,281.25,3.2350295080582403,0.2040902563852318,23,6.58812078351109,0.1762195925313565,183.3333333333333,18.0,328.9319529943821,602.7777777777778,0.1762541666666666,28.714285714285715,22.000000000000004,1340.0,2416.6666666666665,2.321928094887362,0.2066102153102899,29.13213066796685,1327.7777777777778,22.526785714285715
36N,HongKong_1,0,1,32,368.2291666666667,6,175.0,3.547543788699509,0.0487064928674545,5,4.81919063017511,0.1706176636510874,16.666666666666668,23.0,284.988229251312,512.3188405797101,0.193825,40.37433155080213,22.259358288770056,1677.7777777777774,3616.666666666666,2.584962500721156,0.2186931005588239,34.33953699500681,1483.3333333333333,17.0303605313093
36N,Sweden_4,1,0,37,304.5045045045045,3,216.66666666666663,3.2237973614273785,0.0686136044984001,12,6.775504625571275,0.2069269247180127,300.0,28.0,284.5075574423238,402.3809523809524,0.25504375,15.77777777777778,17.555555555555557,1183.3333333333333,1533.3333333333333,1.0,0.0945044307897685,19.73350253807107,1295.8333333333333,32.75617283950618
36N,London_3,1,0,30,411.6666666666667,4,216.66666666666669,3.3869747766084424,0.3320925743736992,2,7.435302668678066,0.1895428637949683,433.33333333333337,24.0,319.78989015730366,514.5833333333334,0.1866486111111111,34.98498498498498,7.2822822822822815,2588.8888888888887,3399.9999999999995,1.584962500721156,0.1351101129519061,20.21225277375784,1995.2380952380952,16.669255462358908
36N,Italy_4,1,0,35,320.0,8,172.91666666666669,3.496116225783889,0.0552159302777753,7,8.5308235795184,0.2114136305527433,250.00000000000003,26.0,329.16907263988384,430.7692307692309,0.2265138888888888,26.29262926292629,19.03190319031903,1991.6666666666663,2383.333333333333,2.0,0.1782823632633742,35.04016064257028,1938.888888888889,20.263055717336435
36N,Mexico_3,0,1,34,324.5098039215686,9,174.07407407407408,3.5855080713680136,0.0672187265781555,20,6.8235494493935285,0.2022168917403362,383.33333333333337,27.0,329.37881102186464,408.6419753086421,0.2343826388888888,22.95839753466872,14.48382126348228,2483.333333333333,2483.333333333333,0.0,0.0,15.751334858886349,1720.833333333333,14.255031050100389
36N,Italy_1,0,1,28,433.33333333333337,4,179.16666666666669,3.703071710240771,0.1899470305113087,18,4.7547478495322695,0.2415930873121061,183.3333333333333,18.0,496.3420160284683,674.0740740740741,0.1711534722222222,38.20335636722606,41.16485686080947,1612.4999999999995,2316.666666666666,2.0,0.1789355003058601,30.097645031591043,1746.6666666666667,8.67609959416475
36N,NYC_1,1,0,32,339.0625,8,139.58333333333334,3.644153175215623,0.1365894048069564,1,8.316172909895961,0.2161411028929071,250.00000000000003,24.0,355.44632261919725,452.0833333333335,0.2640888888888889,,,,,,,10.678276810265812,1294.444444444444,22.71260997067449
36N,NYC_4,1,0,38,251.7543859649123,6,122.22222222222224,3.685379208897698,0.1039581215588085,108,10.842625122465789,0.3418212645109812,333.33333333333337,27.0,526.3277753714777,354.320987654321,0.2476465277777777,,,,,,,8.490566037735851,1350.0,18.44238975817923
37T,London_3,1,0,37,271.6216216216216,16,111.45833333333334,3.3483528494081365,0.0755561990461209,6,7.259591217247486,0.2009227037808455,816.6666666666667,20.0,342.6084484698868,502.49999999999983,0.2396930555555555,37.37623762376237,10.14851485148515,1258.333333333333,1966.6666666666663,2.0,0.1828019391267006,18.60382707299788,1250.0,8.632425742574258
37T,NYC_4,1,0,41,232.52032520325204,19,108.77192982456144,3.371471614190244,0.073629318574039,3,6.145334242376489,0.2234630401561658,133.33333333333334,25.0,450.57302519632407,381.33333333333326,0.2711972222222222,36.21794871794872,8.974358974358974,1412.5,2833.333333333334,2.0,0.1744017422005291,23.309018567639257,1171.6666666666663,9.917200854700852
37T,Italy_1,1,0,38,260.5263157894737,20,110.83333333333334,3.4845156288396955,0.0876827779837471,3,5.885945023737857,0.2258977077408411,500.00000000000006,26.0,424.6992116573237,380.7692307692308,0.2909270833333333,21.37681159420289,5.4347826086956506,983.333333333333,1249.9999999999995,1.584962500721156,0.1540809411129385,8.79043600562588,1041.6666666666663,12.788875832354094
37T,HongKong_3,1,0,42,232.1428571428572,20,120.83333333333334,3.153568323845857,0.1408983801439895,9,4.664460896590172,0.1712722031976027,300.0,25.0,328.5409627158482,390.00000000000017,0.2525326388888889,51.53272576636289,28.086164043082025,1151.8518518518515,2266.6666666666665,3.1699250014423126,0.2844073804080577,34.207589285714285,1362.2222222222222,10.51589306282458
37T,Russia_1,1,0,38,269.2982456140351,15,147.7777777777778,2.8832003711710503,0.0423322163309992,0,4.957877014850943,0.1742648605637201,50.0,21.0,237.95375241447115,487.3015873015872,0.2137645833333333,30.238457635717907,20.04058853373921,1419.0476190476188,2433.333333333333,2.807354922057604,0.2495842518403035,35.647969052224376,1535.8333333333333,17.617617617617615
37T,Mexico_1,1,0,36,284.72222222222223,18,140.74074074074076,3.204386699630553,0.0408139469350145,2,4.187876769714895,0.1445666350525492,200.0,16.0,277.8678791991669,640.625,0.1921,56.44264780192017,26.42748863062153,1692.4242424242425,3316.666666666667,3.4594316186372978,0.295802222314915,48.43870470316115,1610.897435897436,11.910777448928028
37T,Italy_4,1,0,34,309.80392156862746,14,142.85714285714286,3.700820844096522,0.1328185958455638,2,5.381634925106424,0.2165918831391711,550.0,20.0,340.976804130164,526.6666666666667,0.2464979166666666,49.53271028037383,23.230974632843783,1236.6666666666663,1899.9999999999995,2.321928094887362,0.2131964867902373,29.000724112961613,1334.9999999999995,8.285795201683053
37T,Sweden_2,1,0,35,297.1428571428572,13,161.53846153846155,3.276504317400661,0.1532506859885266,12,5.505265490514538,0.2806646985333476,216.66666666666669,23.0,423.73984291318936,452.1739130434783,0.2568333333333333,15.118790496760258,17.170626349892007,1166.6666666666663,1183.333333333333,1.0,0.0979679381119566,25.12903225806452,1442.5925925925924,10.443399822131878
37T,NYC_1,1,0,36,291.6666666666667,17,132.35294117647058,3.3768838396848344,0.1035639412414877,0,5.802091046500462,0.2081347208655964,100.0,17.0,382.0113633007766,617.6470588235293,0.2205916666666666,31.67746580273577,34.269258459323254,1047.6190476190477,2433.333333333333,2.807354922057604,0.2495842518403035,31.25309559187716,1168.5185185185185,22.240049367479173
37T,Vietnam_1,1,0,33,292.92929292929296,18,168.51851851851853,3.1110009636677485,0.0702137179690502,4,4.521392488560987,0.1542889365451318,200.0,17.0,316.5593520676244,568.6274509803922,0.1857569444444444,57.06584520600694,45.97612629957645,1900.0,2600.0,3.700439718141093,0.3262098230853704,61.75637393767706,2422.222222222222,30.78431844435888
37T,India_1,1,0,25,447.33333333333337,13,165.3846153846154,3.1598404828239888,0.0707396733867203,2,5.103233573431908,0.1694006479396217,316.6666666666667,16.0,242.3671358087749,698.9583333333334,0.1766972222222222,74.79954180985108,20.561282932416955,3627.7777777777774,6750.0,2.584962500721156,0.2032130048241296,53.537443111295005,3080.952380952381,22.358247422680414
37T,France_3,1,0,39,260.2564102564103,14,172.61904761904765,2.9989559552527423,0.0825057579081593,0,5.119929716774124,0.2500514607128121,33.333333333333336,25.0,325.308102130371,406.00000000000006,0.2606777777777778,28.239202657807315,6.423034330011075,1416.6666666666667,2416.6666666666665,1.584962500721156,0.141033412814887,17.12962962962963,1726.6666666666663,10.234889549455035
